case,word_bits,logN,batch,role_stages,data_time,full_replica_rounds,tail_replicas,tokens_per_replica,kernel_ms,token_count,packet_count,serial_slots_per_packet,serial_token_slots,token_capacity_utilization,adjacent_speedup,regret,correct
w32_n12_b160_td5,32,12,160,6,5,0,5,0.8333333333333334,0.093281,64,13,1,13,0.8205128205128205,1.204575422647699,1.2124177909485558,1
w32_n12_b160_td6,32,12,160,6,6,1,0,1.0,0.083277,64,11,1,11,0.9696969696969697,1.1201292073441647,1.0823910161428683,1
w32_n12_b160_td7,32,12,160,6,7,1,1,1.1666666666666667,0.120663,64,10,2,20,0.5333333333333333,0.6901618557469978,1.5683147469390937,1
w32_n12_b160_td8,32,12,160,6,8,1,2,1.3333333333333333,0.101212,64,8,2,16,0.6666666666666666,1.1921807690787656,1.3155007928461877,1
w32_n12_b160_td9,32,12,160,6,9,1,3,1.5,0.096102,64,8,2,16,0.6666666666666666,1.0531726707040434,1.2490836777665133,1
w32_n12_b160_td10,32,12,160,6,10,1,4,1.6666666666666667,0.087532,64,7,2,14,0.7619047619047619,1.0979070511355848,1.1376952871142998,1
w32_n12_b160_td11,32,12,160,6,11,1,5,1.8333333333333333,0.080466,64,6,2,12,0.8888888888888888,1.0878134864414784,1.0458551041098025,1
w32_n12_b160_td12,32,12,160,6,12,2,0,2.0,0.076938,64,6,2,12,0.8888888888888888,1.0458551041098025,1.0,1
w32_n12_b160_td13,32,12,160,6,13,2,1,2.1666666666666665,0.091786,64,5,3,15,0.7111111111111111,0.8382324101714859,1.1929865606072423,1
w32_n12_b160_td14,32,12,160,6,14,2,2,2.3333333333333335,0.092355,64,5,3,15,0.7111111111111111,0.9938389908505224,1.2003821258675818,1
w32_n12_b160_td15,32,12,160,6,15,2,3,2.5,0.086615,64,5,3,15,0.7111111111111111,1.066270276510997,1.125776599339728,1
w32_n12_b160_td16,32,12,160,6,16,2,4,2.6666666666666665,0.079498,64,4,3,12,0.8888888888888888,1.0895242647613776,1.033273544932283,1
w32_n12_b256_td1,32,12,256,6,1,0,1,0.16666666666666666,0.414694,64,64,1,64,0.16666666666666666,,3.3219103463744433,1
w32_n12_b256_td2,32,12,256,6,2,0,2,0.3333333333333333,0.393784,64,32,1,32,0.3333333333333333,1.0531001767466428,3.154410586689737,1
w32_n12_b256_td3,32,12,256,6,3,0,3,0.5,0.291297,64,22,1,22,0.48484848484848486,1.3518299192919943,2.333437469960588,1
w32_n12_b256_td4,32,12,256,6,4,0,4,0.6666666666666666,0.232566,64,16,1,16,0.6666666666666666,1.2525347643249658,1.8629722195520522,1
w32_n12_b256_td5,32,12,256,6,5,0,5,0.8333333333333334,0.198671,64,13,1,13,0.8205128205128205,1.1706086947767917,1.59145599025922,1
w32_n12_b256_td6,32,12,256,6,6,1,0,1.0,0.124836,64,11,1,11,0.9696969696969697,1.59145599025922,1.0,1
w32_n12_b256_td7,32,12,256,6,7,1,1,1.1666666666666667,0.235284,64,10,2,20,0.5333333333333333,0.5305758147600347,1.8847447851581274,1
w32_n12_b256_td8,32,12,256,6,8,1,2,1.3333333333333333,0.198461,64,8,2,16,0.6666666666666666,1.1855427514725816,1.589773783203563,1
w32_n12_b256_td9,32,12,256,6,9,1,3,1.5,0.190234,64,8,2,16,0.6666666666666666,1.0432467382276565,1.5238713191707518,1
w32_n12_b256_td10,32,12,256,6,10,1,4,1.6666666666666667,0.172549,64,7,2,14,0.7619047619047619,1.1024926252832528,1.3822054535550643,1
w32_n12_b256_td11,32,12,256,6,11,1,5,1.8333333333333333,0.160215,64,6,2,12,0.8888888888888888,1.0769840526792125,1.283403825819475,1
w32_n12_b256_td12,32,12,256,6,12,2,0,2.0,0.155668,64,6,2,12,0.8888888888888888,1.0292095999177737,1.246980037809606,1
w32_n12_b256_td13,32,12,256,6,13,2,1,2.1666666666666665,0.1822,64,5,3,15,0.7111111111111111,0.8543798024149286,1.4595148835271876,1
w32_n12_b256_td14,32,12,256,6,14,2,2,2.3333333333333335,0.181704,64,5,3,15,0.7111111111111111,1.0027297142605556,1.4555416706719215,1
w32_n12_b256_td15,32,12,256,6,15,2,3,2.5,0.17301,64,5,3,15,0.7111111111111111,1.0502514305531472,1.3858982985677208,1
w32_n12_b256_td16,32,12,256,6,16,2,4,2.6666666666666665,0.158387,64,4,3,12,0.8888888888888888,1.0923244963286127,1.2687606139254701,1
w32_n12_b512_td1,32,12,512,6,1,0,1,0.16666666666666666,0.805929,64,64,1,64,0.16666666666666666,,3.5893725615947836,1
w32_n12_b512_td2,32,12,512,6,2,0,2,0.3333333333333333,0.594355,64,32,1,32,0.3333333333333333,1.355972440713042,2.6470837118985266,1
w32_n12_b512_td3,32,12,512,6,3,0,3,0.5,0.450452,64,22,1,22,0.48484848484848486,1.3194635610453498,2.0061817469224876,1
w32_n12_b512_td4,32,12,512,6,4,0,4,0.6666666666666666,0.360033,64,16,1,16,0.6666666666666666,1.2511408676426883,1.6034819090374646,1
w32_n12_b512_td5,32,12,512,6,5,0,5,0.8333333333333334,0.313969,64,13,1,13,0.8205128205128205,1.1467151215565867,1.3983262964744445,1
w32_n12_b512_td6,32,12,512,6,6,1,0,1.0,0.224532,64,11,1,11,0.9696969696969697,1.3983262964744445,1.0,1
w32_n12_b512_td7,32,12,512,6,7,1,1,1.1666666666666667,0.453596,64,10,2,20,0.5333333333333333,0.4950043651178582,2.0201842053693904,1
w32_n12_b512_td8,32,12,512,6,8,1,2,1.3333333333333333,0.383985,64,8,2,16,0.6666666666666666,1.1812857273070563,1.7101571268237936,1
w32_n12_b512_td9,32,12,512,6,9,1,3,1.5,0.367693,64,8,2,16,0.6666666666666666,1.0443087031844502,1.6375973135232393,1
w32_n12_b512_td10,32,12,512,6,10,1,4,1.6666666666666667,0.332314,64,7,2,14,0.7619047619047619,1.1064625625161744,1.480029572622165,1
w32_n12_b512_td11,32,12,512,6,11,1,5,1.8333333333333333,0.309156,64,6,2,12,0.8888888888888888,1.0749071666084438,1.3768905991128213,1
