word_bits,batch,physical_core,weights,kernel_ms,min_ms,trials,v06_ms,speedup_vs_v06
64,1,appt-online-radix4,5-7-8,0.495821,0.495821,1,0.229786,0.46344547729926727
64,1,appt-online-radix4,5-8-7,0.471654,0.471654,1,0.229786,0.4871918821848219
64,1,appt-online-radix4,5-9-6,0.470016,0.470016,1,0.229786,0.4888897399237473
64,1,appt-online-radix4,6-10-4,0.57344,0.57344,1,0.229786,0.40071498325892857
64,1,appt-online-radix4,6-4-10,0.481894,0.481894,1,0.229786,0.4768393049093784
64,1,appt-online-radix4,6-5-9,0.485581,0.485581,1,0.229786,0.47321868030256536
64,1,appt-online-radix4,6-6-8,0.489472,0.489472,1,0.229786,0.46945688415271963
64,1,appt-online-radix4,6-7-7,0.521421,0.521421,1,0.229786,0.4406918785396062
64,1,appt-online-radix4,6-8-6,0.512,0.512,1,0.229786,0.44880078124999995
64,1,appt-online-radix4,6-9-5,0.577946,0.577946,1,0.229786,0.3975907783772186
64,1,appt-online-radix4,7-10-3,0.713728,0.713728,1,0.229786,0.32195177994978474
64,1,appt-online-radix4,7-3-10,0.596378,0.596378,1,0.229786,0.38530261008957406
64,1,appt-online-radix4,7-4-9,0.487635,0.487635,1,0.229786,0.471225404247029
64,1,appt-online-radix4,7-5-8,0.487424,0.487424,1,0.229786,0.4714293920693277
64,1,appt-online-radix4,7-6-7,0.525722,0.525722,1,0.229786,0.4370865210130068
64,1,appt-online-radix4,7-7-6,0.529203,0.529203,1,0.229786,0.43421144626920105
64,1,appt-online-radix4,7-8-5,0.576717,0.576717,1,0.229786,0.39843805540672456
64,1,appt-online-radix4,7-9-4,0.576102,0.576102,1,0.229786,0.39886339571811935
64,1,appt-online-radix4,8-3-9,0.593715,0.593715,1,0.229786,0.3870308144480096
64,1,appt-online-radix4,8-4-8,0.478618,0.478618,1,0.229786,0.4801031302625476
64,1,appt-online-radix4,8-5-7,0.50176,0.50176,1,0.229786,0.45795998086734696
64,1,appt-online-radix4,8-6-6,0.517734,0.517734,1,0.229786,0.443830229422831
64,1,appt-online-radix4,8-7-5,0.566682,0.566682,1,0.229786,0.40549373369897046
64,1,appt-online-radix4,8-8-4,0.462848,0.462848,1,0.229786,0.4964610412057522
64,1,appt-online-radix4,8-9-3,0.586547,0.586547,1,0.229786,0.39176059207531533
64,1,appt-online-radix4,9-3-8,0.592486,0.592486,1,0.229786,0.387833636575379
64,1,appt-online-radix4,9-4-7,0.500531,0.500531,1,0.229786,0.4590844523116451
64,1,appt-online-radix4,9-5-6,0.504422,0.504422,1,0.229786,0.45554317615012824
64,1,appt-online-radix4,9-6-5,0.578765,0.578765,1,0.229786,0.3970281547778459
64,1,appt-online-radix4,9-7-4,0.58327,0.58327,1,0.229786,0.3939616301198416
64,1,appt-online-radix4,9-8-3,0.592282,0.592282,1,0.229786,0.38796721831830105
64,4,appt-online,10-3-7,2.516787,2.516787,1,0.611328,0.24290017391221427
64,4,appt-online,10-4-6,2.054554,2.054554,1,0.611328,0.2975477889605238
64,4,appt-online,10-5-5,2.126029,2.126029,1,0.611328,0.2875445254980059
64,4,appt-online,10-6-4,2.286797,2.286797,1,0.611328,0.26732936941932317
64,4,appt-online,10-7-3,2.837504,2.837504,1,0.611328,0.21544568747744497
64,4,appt-online,3-10-7,2.74473,2.74473,1,0.611328,0.22272791859308563
64,4,appt-online,3-7-10,2.653184,2.653184,1,0.611328,0.23041296796603628
64,4,appt-online,3-8-9,2.634547,2.634547,1,0.611328,0.23204292806315469
64,4,appt-online,3-9-8,2.65257,2.65257,1,0.611328,0.23046630249154593
64,4,appt-online,4-10-6,2.150195,2.150195,1,0.611328,0.2843128181397501
64,4,appt-online,4-6-10,2.12521,2.12521,1,0.611328,0.28765533759016754
64,4,appt-online,4-7-9,2.110054,2.110054,1,0.611328,0.28972149527926777
64,4,appt-online,4-8-8,2.076467,2.076467,1,0.611328,0.2944077608746009
64,4,appt-online,4-9-7,2.117018,2.117018,1,0.611328,0.2887684469380988
64,4,appt-online,5-10-5,2.26263,2.26263,1,0.611328,0.27018469656992083
64,4,appt-online,5-5-10,2.113741,2.113741,1,0.611328,0.28921613385935174
64,4,appt-online,5-6-9,1.99209,1.99209,1,0.611328,0.3068777013086758
64,4,appt-online,5-7-8,1.963622,1.963622,1,0.611328,0.3113267217417609
64,4,appt-online,5-8-7,2.020966,2.020966,1,0.611328,0.3024929662349589
64,4,appt-online,5-9-6,2.051891,2.051891,1,0.611328,0.2979339545814081
64,4,appt-online,6-10-4,2.336154,2.336154,1,0.611328,0.2616813788817004
64,4,appt-online,6-4-10,2.221261,2.221261,1,0.611328,0.2752166449597773
64,4,appt-online,6-5-9,2.05783,2.05783,1,0.611328,0.2970741023310963
64,4,appt-online,6-6-8,2.048819,2.048819,1,0.611328,0.2983806768679908
64,4,appt-online,6-7-7,1.960141,1.960141,1,0.611328,0.3118796045794665
64,4,appt-online,6-8-6,1.926144,1.926144,1,0.611328,0.31738437001594894
64,4,appt-online,6-9-5,2.128896,2.128896,1,0.611328,0.2871572871572871
64,4,appt-online,7-10-3,2.949939,2.949939,1,0.611328,0.2072341156884939
64,4,appt-online,7-3-10,2.666496,2.666496,1,0.611328,0.22926267281105991
64,4,appt-online,7-4-9,2.178458,2.178458,1,0.611328,0.2806241846296784
64,4,appt-online,7-5-8,2.074009,2.074009,1,0.611328,0.29475667656215565
64,4,appt-online,7-6-7,2.085894,2.085894,1,0.611328,0.29307721293603606
