trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,16,0,0,12,4096,1024,1,4096,20,100,5.497984,0.378266,5.100896,2707092.444602,66.529504,11088250653.089293,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,32,0,0,12,4096,1024,1,4096,20,100,5.520704,0.312105,5.105152,3280947.430247,80.632564,13438760674.292160,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,32,0,0,12,4096,1024,1,4096,20,100,5.554112,0.311316,5.107680,3289257.493098,80.836792,13472798691.727884,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,32,0,0,12,4096,1024,1,4096,20,100,5.485248,0.311603,5.103744,3286230.814521,80.762408,13460401416.277563,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,32,0,0,12,4096,1024,1,4096,20,100,5.455808,0.299684,5.100256,3416934.336981,83.974578,13995763044.273802,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,32,0,0,12,4096,1024,1,4096,20,100,5.449760,0.299336,5.101696,3420908.838457,84.072256,14012042602.320700,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,32,0,0,12,4096,1024,1,4096,20,100,5.466464,0.299612,5.104320,3417751.751561,83.994667,13999111174.395393,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,32,0,0,12,4096,1024,1,4096,20,100,5.471552,0.297615,5.095072,3440682.755219,84.558219,14093036565.376173,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,32,0,0,12,4096,1024,1,4096,20,100,5.468320,0.297472,5.097120,3442340.790326,84.598967,14099827877.174421,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,32,0,0,12,4096,1024,1,4096,20,100,5.475456,0.297595,5.099712,3440919.470355,84.564037,14094006150.573017,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,64,0,0,12,4096,1024,1,4096,20,100,5.455296,0.312791,5.100064,3273750.964744,80.455704,13409283951.593088,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,64,0,0,12,4096,1024,1,4096,20,100,5.478112,0.312955,5.098976,3272037.245133,80.413587,13402264556.065443,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,64,0,0,12,4096,1024,1,4096,20,100,5.487040,0.313303,5.097056,3268401.269512,80.324230,13387371599.919146,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,64,0,0,12,4096,1024,1,4096,20,100,5.477440,0.302674,5.096512,3383178.990338,83.145007,13857501144.423950,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,64,0,0,12,4096,1024,1,4096,20,100,5.484256,0.302715,5.096640,3382721.012981,83.133752,13855625269.170359,0.000000,-1
