device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct,trial
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.489344,0.537446,5.097856,7442.602930,359.561986,7804134809.953007,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.832640,0.325939,2.629760,12272.227147,691.044509,12868362852.918497,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.460768,0.538726,5.108544,7424.919363,360.099581,7785592245.830397,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.466208,0.605850,5.099008,6602.298398,358.067897,6923011645.237185,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.843104,0.195840,2.625760,5228758.140398,180768.493163,21416993343.071842,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.470848,0.433408,5.117664,2362669.697361,92905.773512,9677495080.392443,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,5,20,5.459904,0.370790,5.113984,2761667.883921,93561.448978,11311791652.540312,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.456992,0.476262,5.128576,8398.731621,361.603810,8806708408.355722,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.464672,0.476365,5.140032,8396.926205,360.976013,8804815292.356991,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.468576,0.434227,5.143360,2358212.645689,92701.870850,9659238996.742266,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,5,20,2.809760,0.169882,2.790528,6027727.647438,177464.449815,24689572443.904823,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,32,20,1048576,4,1053818881,30,10,2,512,0,5,20,2.849536,0.396186,2.800960,10096.278696,661.519868,10586715530.262796,fused,barrett,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,5,20,5.480832,0.276736,5.139168,3700277.637951,93973.095391,15156337205.048744,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,10,2,512,0,5,20,5.459744,0.516608,5.107360,7742.814671,360.889930,8118929636.417758,fused,shoup,natural,1,3
Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix8,64,20,1048576,4,1053818881,30,10,2,512,0,5,20,5.474144,0.538419,5.143104,7429.155751,358.562147,7790034420.639919,fused,shoup,natural,1,3
