rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
71,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,512,4,8,16,32,7,1,0,0,named-barrier,1,0.082350,0.082350,0.082350,44.566027,1.529475
72,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,512,8,8,32,32,7,1,0,0,named-barrier,1,0.089006,0.089006,0.089006,41.233317,1.653096
1,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,4,4,4,8,1,0,0,named-barrier,1,0.053023,0.053023,0.053023,74.159907,1.000000
2,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,8,4,4,7,1,0,0,named-barrier,1,0.053125,0.053125,0.053125,74.016961,1.001924
3,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,8,8,4,7,1,0,0,named-barrier,1,0.053207,0.053207,0.053207,73.903003,1.003470
4,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,4,4,2,7,1,0,0,named-barrier,1,0.053903,0.053903,0.053903,72.948328,1.016597
5,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,4,8,2,7,1,0,0,named-barrier,1,0.054292,0.054292,0.054292,72.425503,1.023933
6,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,4,4,4,4,7,1,0,0,named-barrier,1,0.054395,0.054395,0.054395,72.289159,1.025876
7,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,8,4,8,4,7,1,0,0,named-barrier,1,0.054784,0.054784,0.054784,71.775696,1.033212
8,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,8,4,8,8,1,0,0,named-barrier,1,0.055071,0.055071,0.055071,71.402007,1.038625
9,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,4,8,4,4,7,1,0,0,named-barrier,1,0.055398,0.055398,0.055398,70.979666,1.044792
10,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,4,4,4,2,7,1,0,0,named-barrier,1,0.055890,0.055890,0.055890,70.355442,1.054071
11,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,8,4,4,8,8,1,0,0,named-barrier,1,0.055992,0.055992,0.055992,70.226774,1.055995
12,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,8,4,8,4,8,1,0,0,named-barrier,1,0.056054,0.056054,0.056054,70.149802,1.057164
13,fft,fp64,forward,none,out-of-place,15,32768,16,1,32768,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,8,4,4,4,8,1,0,0,named-barrier,1,0.056074,0.056074,0.056074,70.124179,1.057541
