holdout_dimension,holdout_value,operator,precision,accumulation,logN,batch,measured_winner,predicted_winner,top1_correct,topk_contains_winner,regret
numeric-contract,fp32:native,structured-2x2,fp32,native,15,8,online-r4-t256,hier-r4-t256,0,1,1.0775686012402064
numeric-contract,fp32:native,fwht,fp32,native,15,8,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp32:native,fwht,fp32,native,15,7,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp32:native,fwht,fp32,native,20,1,online-r2-t256,hier-r4-t256,0,1,1.0552233556102708
numeric-contract,fp32:native,fft,fp32,native,8,1,temporal-r4-t128,temporal-r2-t128,0,1,1.043055920189026
numeric-contract,fp32:native,fwht,fp32,native,8,960,temporal-r4-t128,temporal-r2-t128,0,1,1.1450813871196037
numeric-contract,fp32:native,fft,fp32,native,8,801,temporal-r4-t128,temporal-r2-t128,0,1,1.1943359375
numeric-contract,fp32:native,fwht,fp32,native,15,9,hier-r4-t256,online-r4-t256,0,1,1.2518465285263705
numeric-contract,fp32:native,structured-2x2,fp32,native,20,2,online-r4-t256,hier-r4-t256,0,1,1.4846661391234053
numeric-contract,fp32:native,structured-2x2,fp32,native,8,1281,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp32:native,structured-2x2,fp32,native,15,1,online-r4-t256,online-r2-t256,0,1,1.0551013551349537
numeric-contract,fp32:native,structured-2x2,fp32,native,20,1,online-r4-t256,hier-r4-t256,0,1,1.0588576884085787
numeric-contract,fp32:native,fft,fp32,native,8,1281,temporal-r4-t128,temporal-r2-t128,0,1,1.0872171726938697
numeric-contract,fp32:native,fwht,fp32,native,8,1280,temporal-r4-t128,temporal-r2-t128,0,1,1.088235294117647
numeric-contract,fp32:native,fft,fp32,native,15,7,online-r4-t256,hier-r4-t256,0,1,1.0798283780517282
numeric-contract,fp32:native,structured-2x2,fp32,native,8,961,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp64:native,structured-2x2,fp64,native,8,800,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp64:native,fft,fp64,native,15,1,online-r2-t256,online-r2-t256,1,1,1.0
numeric-contract,fp64:native,fwht,fp64,native,8,1281,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp64:native,fft,fp64,native,15,4,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,fp64:native,structured-2x2,fp64,native,15,7,online-r4-t256,hier-r4-t256,0,1,1.2318230442734392
numeric-contract,fp64:native,structured-2x2,fp64,native,8,1279,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp64:native,fwht,fp64,native,15,7,online-r4-t256,hier-r4-t256,0,1,1.2353667361968412
numeric-contract,fp64:native,fwht,fp64,native,20,1,online-r4-t256,online-r2-t256,0,1,1.0894584621521892
numeric-contract,fp64:native,fwht,fp64,native,15,4,online-r4-t256,hier-r4-t256,0,1,1.349094149094149
numeric-contract,fp64:native,structured-2x2,fp64,native,8,799,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp64:native,fft,fp64,native,8,719,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp64:native,fwht,fp64,native,15,8,online-r4-t256,hier-r4-t256,0,1,1.3116807457034665
numeric-contract,fp64:native,fwht,fp64,native,8,1280,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,fp64:native,structured-2x2,fp64,native,15,5,online-r4-t256,hier-r4-t256,0,1,1.0040656887755102
